dados1,tipoequip1,dados2,tipoequip2,dados3,tipoequip3
17,TRANSPORTADOR ROLETES ELEVAÇÃO POR BIELA,2,PINÇA AUTOMATICA,6,OPEN GATE - BILANCELA
15,TRANSPORTADOR ROLETES ELEVAÇÃO POR BIELA,19,ROBO,10,PINÇA AUTOMATICA
11,OPEN GATE - BILANCELA,5,OPEN GATE - BILANCELA,66,OPEN GATE - BILANCELA
5,OPEN GATE - BILANCELA,4,OPEN GATE - BILANCELA,10,OPEN GATE - BILANCELA
6,OPEN GATE - BILANCELA,4,PINÇA AUTOMATICA,5,PINÇA AUTOMATICA
2,PINÇA AUTOMATICA,8,OPEN GATE - BILANCELA,5,PINÇA AUTOMATICA
2,PINÇA AUTOMATICA,14,DISPOSITIVO DIMENSIONAL LATERAL,11,PINÇA AUTOMATICA
4,DISPOSITIVO DIMENSIONAL LATERAL,2,OPEN GATE - BILANCELA,9,PINÇA AUTOMATICA
4,OPEN GATE - BILANCELA,5,PINÇA AUTOMATICA,4,OPEN GATE - BILANCELA
5,OPEN GATE - BILANCELA,6,PINÇA AUTOMATICA,3,OPEN GATE - BILANCELA
17,PINÇA AUTOMATICA,11,PINÇA AUTOMATICA,11,OPEN GATE - BILANCELA
11,TRANSPORTADOR ROLETES ELEVAÇÃO POR BIELA,3,PINÇA AUTOMATICA,2,OPEN GATE - BILANCELA
3,ROBO,7,PINÇA AUTOMATICA,4,OPEN GATE - BILANCELA
3,PINÇA AUTOMATICA,4,OPEN GATE - BILANCELA,2,OPEN GATE - BILANCELA
3,PINÇA AUTOMATICA,3,DISPOSITIVO DIMENSIONAL LATERAL,4,OPEN GATE - BILANCELA
3,OPEN GATE - BILANCELA,11,PINÇA AUTOMATICA,2,DISPOSITIVO
3,OPEN GATE - BILANCELA,5,ROBO,4,OPEN GATE - BILANCELA
3,OPEN GATE - BILANCELA,2,OPEN GATE - BILANCELA,4,OPEN GATE - BILANCELA
7,DISPOSITIVO DIMENSIONAL LATERAL,4,ROBO,8,OPEN GATE - BILANCELA
3,TRANSPORTADOR ROLETES ELEVAÇÃO POR BIELA,2,OPEN GATE - BILANCELA,4,OPEN GATE - BILANCELA
3,PINÇA AUTOMATICA,35,OPEN GATE - BILANCELA,2,PINÇA AUTOMATICA
2,OPEN GATE - BILANCELA,2,OPEN GATE - BILANCELA,9,DISPOSITIVO DIMENSIONAL LATERAL
14,PAINEL DE SOLDA,5,PINÇA AUTOMATICA,3,OPEN GATE - BILANCELA
14,PINÇA AUTOMATICA,257,ROBO,7,OPEN GATE - BILANCELA
5,PINÇA AUTOMATICA,12,ROBO,4,OPEN GATE - BILANCELA
